"http://www\.youtube\.com/channel/UC_4x83KfcioERNnGDchnRCw",0
"http://www\.youtube\.com/channel/UC_FWjYTNkmhoPHC8feUBwjA",1
"http://www\.youtube\.com/channel/UC_Irz7j0mUtzF9\-NZGliS4w",2
"http://www\.youtube\.com/channel/UC_L\-yqhKATRIn_a5Oa3XTIA",3
"http://www\.youtube\.com/channel/UC_O015Or52rFhNCgQyociFw",4
"http://www\.youtube\.com/channel/UC_PupfMXdi4e3iW2CUG7e_A",5
"http://www\.youtube\.com/channel/UC_Qe5eircWIBB7IL0eqjFKg",6
"http://www\.youtube\.com/channel/UC_QWCEdBtDFWhhlT7N5AflA",7
"http://www\.youtube\.com/channel/UC_SINiPuaNpz6YvH1NIXVug",8
"http://www\.youtube\.com/channel/UC_vlX8H4TniygFd5YnommWQ",9
"http://www\.youtube\.com/channel/UC_xlTY9E\-KAoDgDRaxYSgVw",10
"http://www\.youtube\.com/channel/UC\-41zu0U7o\-OX6w86j\-pk1Q",11
"http://www\.youtube\.com/channel/UC\-DJ1yRoDc1FMbi8Ab47AJg",12
"http://www\.youtube\.com/channel/UC\-Mm0NE\-TbtQGJ3I0DGRQNg",13
"http://www\.youtube\.com/channel/UC\-ZKTUWwbrWPMktmGoTgphw",14
"http://www\.youtube\.com/channel/UC007B2M9R9\-PRV9BnB5oYIg",15
"http://www\.youtube\.com/channel/UC0BENVYeqzW2mz\-XW4p6z3w",16
"http://www\.youtube\.com/channel/UC0BfR8i7z5sbdMvv2yMJSsA",17
"http://www\.youtube\.com/channel/UC0iDNEwD5ehByh5AiUGzgUg",18
"http://www\.youtube\.com/channel/UC0jLRQdeTd6ck3l8zErimuQ",19
"http://www\.youtube\.com/channel/UC0k6x\-SfW_147fevfa598ww",20
"http://www\.youtube\.com/channel/UC0OEdg9ycnCftsTnLRPscHA",21
"http://www\.youtube\.com/channel/UC0r0TIFX5kXfWZKpHYQxCYg",22
"http://www\.youtube\.com/channel/UC0rg73Irx9gP\-at3d9NBObA",23
"http://www\.youtube\.com/channel/UC0ymc0WL6_qkOv1nvJlEcHw",24
"http://www\.youtube\.com/channel/UC1\-hgZN6MQb\-AFlxO3J7U3Q",25
"http://www\.youtube\.com/channel/UC1AAoXuxPANTIbm7SgbQyrg",26
"http://www\.youtube\.com/channel/UC1DoEPn\-pEOweNAavjyOQMA",27
"http://www\.youtube\.com/channel/UC1RlmBL5Txju_DGTUbLkLtw",28
"http://www\.youtube\.com/channel/UC1ue_GpIpfz\-jTqltH\-d8EQ",29
"http://www\.youtube\.com/channel/UC1wmr8wGzfr6rV_M4DzsiKA",30
"http://www\.youtube\.com/channel/UC1ZeRnFqverWttZTQoeu\-8g",31
"http://www\.youtube\.com/channel/UC21IUKfVpxp3vp3\-9nc0omw",32
"http://www\.youtube\.com/channel/UC21Q8Hx2hM1PfBGSwub4biw",33
"http://www\.youtube\.com/channel/UC22wckkdt9RZLonkBFYV8sw",34
"http://www\.youtube\.com/channel/UC27RwS6X4p\-Azfsux1P7QrA",35
"http://www\.youtube\.com/channel/UC28eakyOgiSoOZKYGF6wK4A",36
"http://www\.youtube\.com/channel/UC2AdLDDci9NaTMc1dJIySMA",37
"http://www\.youtube\.com/channel/UC2BR63afimoJwJIKNbzfOew",38
"http://www\.youtube\.com/channel/UC2DjIHU2bPhDbJKrTXCq_Ig",39
"http://www\.youtube\.com/channel/UC2hynKRJ4KGgxCQomOheztg",40
"http://www\.youtube\.com/channel/UC2kjvYj1hE0E9x0Pw7DNpIA",41
"http://www\.youtube\.com/channel/UC2ptgBfxhpQkZwDdnNDddCw",42
"http://www\.youtube\.com/channel/UC2rf_x\-HVsOfbaHn6zL7LdA",43
"http://www\.youtube\.com/channel/UC2Rwew\-CgnxmlbTRjXRuCvQ",44
"http://www\.youtube\.com/channel/UC2wBCs7eCyubqIA1_NFCq3w",45
"http://www\.youtube\.com/channel/UC37CaGU8LTCGXD_00F8yATw",46
"http://www\.youtube\.com/channel/UC3a73l__D3JeeMjYI9hs6SA",47
"http://www\.youtube\.com/channel/UC3bpmMQ7qgKuPpa_q5zun\-g",48
"http://www\.youtube\.com/channel/UC3CAUgYW8TB7_DIv5BnUdog",49
"http://www\.youtube\.com/channel/UC3dI_VSJFva9XQbJhlkXxzg",50
"http://www\.youtube\.com/channel/UC3MrKKuJOWy9ueW_sur9HKw",51
"http://www\.youtube\.com/channel/UC3Mudynw_l8zWSLq_AAvcrg",52
"http://www\.youtube\.com/channel/UC3PmtPJYgde2tTqDUoWJz2w",53
"http://www\.youtube\.com/channel/UC3qarBx_f5UEfyPICrIEurA",54
